Title,Genre,Year,Rating,Runtime,Critic Score,Box Office
The Whole Nine Yards,Crime,2000,R,98,45,57.3
The Whole Nine Yards,Comedy,2000,R,98,45,57.3
Cirque du Soleil,Drama,2000,G,39,45,13.4
Cirque du Soleil,Family,2000,G,39,45,13.4
Gladiator,Action,2000,R,155,76,187.3
Gladiator,Drama,2000,R,155,76,187.3
Dinosaur,Adventure,2000,PG,82,65,135.6
Dinosaur,Animation,2000,PG,82,65,135.6
Dinosaur,Family,2000,PG,82,65,135.6
Big Momma's House,Crime,2000,PG-13,99,30,0.5
Big Momma's House,Comedy,2000,PG-13,99,30,0.5
Big Momma's House,Action,2000,PG-13,99,30,0.5
Gone in Sixty Seconds,Thriller,2000,PG-13,118,24,101
Gone in Sixty Seconds,Action,2000,PG-13,118,24,101
Gone in Sixty Seconds,Crime,2000,PG-13,118,24,101
Shaft,Action,2000,R,99,68,70.3
Shaft,Thriller,2000,R,99,68,70.3
Shaft,Crime,2000,R,99,68,70.3
Chicken Run,Animation,2000,G,84,97,106.6
Chicken Run,Family,2000,G,84,97,106.6
Chicken Run,Comedy,2000,G,84,97,106.6
"Me, Myself & Irene",Comedy,2000,R,116,48,0.6
The Patriot,History,2000,R,165,62,2.3
The Patriot,Action,2000,R,165,62,2.3
The Patriot,Drama,2000,R,165,62,2.3
The Adventures of Rocky & Bullwinkle,Adventure,2000,PG,92,43,0.4
The Adventures of Rocky & Bullwinkle,Animation,2000,PG,92,43,0.4
The Adventures of Rocky & Bullwinkle,Comedy,2000,PG,92,43,0.4
The Kid,Comedy,2000,PG,104,49,68.5
The Kid,Family,2000,PG,104,49,68.5
The Kid,Fantasy,2000,PG,104,49,68.5
X-Men,Action,2000,PG-13,104,82,156.2
X-Men,Adventure,2000,PG-13,104,82,156.2
X-Men,Sci-Fi,2000,PG-13,104,82,156.2
What Lies Beneath,Drama,2000,PG-13,130,46,155
What Lies Beneath,Mystery,2000,PG-13,130,46,155
What Lies Beneath,Horror,2000,PG-13,130,46,155
Thomas and the Magic Railroad,Adventure,2000,G,85,19,2
Thomas and the Magic Railroad,Comedy,2000,G,85,19,2
Thomas and the Magic Railroad,Drama,2000,G,85,19,2
Nutty Professor II: The Klumps,Comedy,2000,PG-13,106,26,122.4
Nutty Professor II: The Klumps,Fantasy,2000,PG-13,106,26,122.4
Coyote Ugly,Comedy,2000,PG-13,100,22,59.8
Coyote Ugly,Music,2000,PG-13,100,22,59.8
Coyote Ugly,Drama,2000,PG-13,100,22,59.8
Hollow Man,Sci-Fi,2000,R,112,27,72.1
Hollow Man,Thriller,2000,R,112,27,72.1
Space Cowboys,Thriller,2000,PG-13,130,78,89.4
Space Cowboys,Action,2000,PG-13,130,78,89.4
Space Cowboys,Adventure,2000,PG-13,130,78,89.4
Bless the Child,Crime,2000,R,107,3,28.1
Bless the Child,Horror,2000,R,107,3,28.1
Bless the Child,Drama,2000,R,107,3,28.1
The Replacements,Sport,2000,PG-13,118,40,44
The Replacements,Comedy,2000,PG-13,118,40,44
The Cell,Sci-Fi,2000,R,107,45,60
The Cell,Thriller,2000,R,107,45,60
The Original Kings of Comedy,Comedy,2000,R,115,86,37.7
The Original Kings of Comedy,Documentary,2000,R,115,86,37.7
Bring It On,Comedy,2000,PG-13,98,63,67.9
Bring It On,Sport,2000,PG-13,98,63,67.9
The Art of War,Action,2000,R,117,16,29.5
The Art of War,Adventure,2000,R,117,16,29.5
The Art of War,Crime,2000,R,117,16,29.5
The Crew,Crime,2000,PG-13,88,20,12.5
The Crew,Comedy,2000,PG-13,88,20,12.5
The Tao of Steve,Drama,2000,R,87,80,2.6
The Tao of Steve,Comedy,2000,R,87,80,2.6
Whipped,Comedy,2000,R,82,13,3.8
Backstage,Documentary,2000,R,86,31,0.7
Turn It Up,Drama,2000,R,86,8,0.7
Turn It Up,Action,2000,R,86,8,0.7
Turn It Up,Crime,2000,R,86,8,0.7
Nurse Betty,Crime,2000,R,110,84,25
Nurse Betty,Comedy,2000,R,110,84,25
Nurse Betty,Drama,2000,R,110,84,25
The Watcher,Crime,2000,R,97,10,28.6
The Watcher,Mystery,2000,R,97,10,28.6
The Watcher,Horror,2000,R,97,10,28.6
The Way of the Gun,Drama,2000,R,119,48,5.2
The Way of the Gun,Action,2000,R,119,48,5.2
The Way of the Gun,Crime,2000,R,119,48,5.2
Bait,Crime,2000,R,119,26,14.9
Bait,Action,2000,R,119,26,14.9
Bait,Thriller,2000,R,119,26,14.9
Duets,Music,2000,R,112,20,4.3
Duets,Comedy,2000,R,112,20,4.3
Duets,Drama,2000,R,112,20,4.3
Almost Famous,Drama,2000,R,122,88,31.7
Almost Famous,Music,2000,R,122,88,31.7
Urban Legends: Final Cut,Horror,2000,R,97,9,21
Urban Legends: Final Cut,Mystery,2000,R,97,9,21
Urban Legends: Final Cut,Thriller,2000,R,97,9,21
Woman on Top,Fantasy,2000,R,92,34,4.5
Woman on Top,Comedy,2000,R,92,34,4.5
Beautiful,Comedy,2000,PG-13,112,16,2.8
Beautiful,Drama,2000,PG-13,112,16,2.8
Remember the Titans,Biography,2000,PG,113,73,114.3
Remember the Titans,Sport,2000,PG,113,73,114.3
Remember the Titans,Drama,2000,PG,113,73,114.3
Dancer in the Dark,Musical,2000,R,140,68,2.8
Dancer in the Dark,Music,2000,R,140,68,2.8
Dancer in the Dark,Drama,2000,R,140,68,2.8
Dancer in the Dark,Crime,2000,R,140,68,2.8
Digimon: The Movie,Action,2000,PG,82,25,9
Digimon: The Movie,Adventure,2000,PG,82,25,9
Digimon: The Movie,Animation,2000,PG,82,25,9
Get Carter,Drama,2000,R,102,12,14.6
Get Carter,Crime,2000,R,102,12,14.6
Get Carter,Action,2000,R,102,12,14.6
Girlfight,Drama,2000,R,110,87,0.8
Girlfight,Sport,2000,R,110,87,0.8
Meet the Parents,Comedy,2000,PG-13,108,84,164.5
Dr. T and the Women,Drama,2000,R,122,57,12.1
Dr. T and the Women,Comedy,2000,R,122,57,12.1
Lost Souls,Thriller,2000,R,97,7,16.4
Lost Souls,Drama,2000,R,97,7,16.4
Lost Souls,Horror,2000,R,97,7,16.4
The Contender,Drama,2000,R,126,76,16.1
The Contender,Thriller,2000,R,126,76,16.1
The Ladies Man,Comedy,2000,R,84,11,13.4
Bamboozled,Drama,2000,R,135,48,1.9
Bamboozled,Comedy,2000,R,135,48,1.9
Bamboozled,Music,2000,R,135,48,1.9
Bedazzled,Fantasy,2000,PG-13,93,49,37
Bedazzled,Comedy,2000,PG-13,93,49,37
Best in Show,Comedy,2000,PG-13,90,95,16.6
Pay It Forward,Drama,2000,PG-13,123,40,32.8
Lucky Numbers,Comedy,2000,R,105,22,9.5
Lucky Numbers,Crime,2000,R,105,22,9.5
The Little Vampire,Family,2000,PG,95,55,13.4
The Little Vampire,Comedy,2000,PG,95,55,13.4
The Little Vampire,Adventure,2000,PG,95,55,13.4
Charlie's Angels,Comedy,2000,PG-13,98,67,124.4
Charlie's Angels,Adventure,2000,PG-13,98,67,124.4
Charlie's Angels,Action,2000,PG-13,98,67,124.4
The Legend of Bagger Vance,Sport,2000,PG-13,126,43,30.4
The Legend of Bagger Vance,Drama,2000,PG-13,126,43,30.4
The Legend of Bagger Vance,Fantasy,2000,PG-13,126,43,30.4
Little Nicky,Comedy,2000,PG-13,90,22,38.5
Little Nicky,Fantasy,2000,PG-13,90,22,38.5
Men of Honor,Biography,2000,R,129,41,46.2
Men of Honor,Drama,2000,R,129,41,46.2
Red Planet,Action,2000,PG-13,106,14,17.1
Red Planet,Sci-Fi,2000,PG-13,106,14,17.1
Red Planet,Thriller,2000,PG-13,106,14,17.1
How the Grinch Stole Christmas,Family,2000,PG,104,53,259
How the Grinch Stole Christmas,Fantasy,2000,PG,104,53,259
How the Grinch Stole Christmas,Comedy,2000,PG,104,53,259
The 6th Day,Action,2000,PG-13,123,41,33.8
The 6th Day,Sci-Fi,2000,PG-13,123,41,33.8
The 6th Day,Thriller,2000,PG-13,123,41,33.8
102 Dalmatians,Comedy,2000,G,100,31,65.4
102 Dalmatians,Adventure,2000,G,100,31,65.4
102 Dalmatians,Family,2000,G,100,31,65.4
What's Cooking?,Drama,2000,PG-13,109,52,0.7
What's Cooking?,Comedy,2000,PG-13,109,52,0.7
Dungeons & Dragons,Adventure,2000,PG-13,107,10,14.8
Dungeons & Dragons,Action,2000,PG-13,107,10,14.8
Dungeons & Dragons,Comedy,2000,PG-13,107,10,14.8
Proof of Life,Action,2000,R,135,40,31.2
Proof of Life,Drama,2000,R,135,40,31.2
Proof of Life,Thriller,2000,R,135,40,31.2
Vertical Limit,Action,2000,PG-13,124,48,67.8
Vertical Limit,Drama,2000,PG-13,124,48,67.8
Vertical Limit,Adventure,2000,PG-13,124,48,67.8
"Dude, Where's My Car?",Comedy,2000,PG-13,83,18,45
Requiem for a Dream,Drama,2000,R,102,78,2.5
The Emperor's New Groove,Comedy,2000,G,78,85,87.3
The Emperor's New Groove,Animation,2000,G,78,85,87.3
The Emperor's New Groove,Adventure,2000,G,78,85,87.3
What Women Want,Fantasy,2000,PG-13,127,54,181.5
What Women Want,Comedy,2000,PG-13,127,54,181.5
Miss Congeniality,Crime,2000,PG-13,109,42,105.5
Miss Congeniality,Action,2000,PG-13,109,42,105.5
Miss Congeniality,Comedy,2000,PG-13,109,42,105.5
The Family Man,Fantasy,2000,PG-13,125,53,73.7
The Family Man,Comedy,2000,PG-13,125,53,73.7
The Family Man,Drama,2000,PG-13,125,53,73.7
You Can Count on Me,Drama,2000,R,111,95,8.4
All the Pretty Horses,Drama,2000,PG-13,116,32,14.7
All the Pretty Horses,Western,2000,PG-13,116,32,14.7
Quills,Biography,2000,R,124,75,4.3
