Title,Year,Rating,Runtime,Critic.Score,Box.Office
The Whole Nine Yards,2000,R,98,45,57.3
Gladiator,2000,R,155,76,187.3
Cirque du Soleil,2000,G,39,45,13.4
Dinosaur,2000,PG,82,65,135.6
Big Momma's House,2000,PG-13,99,30,0.5
Gone in Sixty Seconds,2000,PG-13,118,24,101
Shaft,2000,R,99,68,70.3
"Me, Myself & Irene",2000,R,116,48,0.6
Chicken Run,2000,G,84,97,106.6
The Patriot,2000,R,165,62,2.3
The Adventures of Rocky & Bullwinkle,2000,PG,92,43,0.4
The Kid,2000,PG,104,49,68.5
X-Men,2000,PG-13,104,82,156.2
What Lies Beneath,2000,PG-13,130,46,155
Thomas and the Magic Railroad,2000,G,85,19,2
Nutty Professor II: The Klumps,2000,PG-13,106,26,122.4
Hollow Man,2000,R,112,27,72.1
Coyote Ugly,2000,PG-13,100,22,59.8
Space Cowboys,2000,PG-13,130,78,89.4
The Replacements,2000,PG-13,118,40,44
Bless the Child,2000,R,107,3,28.1
The Original Kings of Comedy,2000,R,115,86,37.7
The Cell,2000,R,107,45,60
The Crew,2000,PG-13,88,20,12.5
Bring It On,2000,PG-13,98,63,67.9
The Art of War,2000,R,117,16,29.5
The Tao of Steve,2000,R,87,80,2.6
Whipped,2000,R,82,13,3.8
Backstage,2000,R,86,31,0.7
Turn It Up,2000,R,86,8,0.7
The Way of the Gun,2000,R,119,48,5.2
Nurse Betty,2000,R,110,84,25
The Watcher,2000,R,97,10,28.6
Duets,2000,R,112,20,4.3
Bait,2000,R,119,26,14.9
Urban Legends: Final Cut,2000,R,97,9,21
Woman on Top,2000,R,92,34,4.5
Almost Famous,2000,R,122,88,31.7
Remember the Titans,2000,PG,113,73,114.3
Beautiful,2000,PG-13,112,16,2.8
Dancer in the Dark,2000,R,140,68,2.8
Meet the Parents,2000,PG-13,108,84,164.5
Girlfight,2000,R,110,87,0.8
Digimon: The Movie,2000,PG,82,25,9
Get Carter,2000,R,102,12,14.6
Dr. T and the Women,2000,R,122,57,12.1
The Contender,2000,R,126,76,16.1
Lost Souls,2000,R,97,7,16.4
The Ladies Man,2000,R,84,11,13.4
Best in Show,2000,PG-13,90,95,16.6
Pay It Forward,2000,PG-13,123,40,32.8
Bamboozled,2000,R,135,48,1.9
Bedazzled,2000,PG-13,93,49,37
Lucky Numbers,2000,R,105,22,9.5
The Little Vampire,2000,PG,95,55,13.4
Charlie's Angels,2000,PG-13,98,67,124.4
The Legend of Bagger Vance,2000,PG-13,126,43,30.4
Red Planet,2000,PG-13,106,14,17.1
Little Nicky,2000,PG-13,90,22,38.5
Men of Honor,2000,R,129,41,46.2
The 6th Day,2000,PG-13,123,41,33.8
How the Grinch Stole Christmas,2000,PG,104,53,259
102 Dalmatians,2000,G,100,31,65.4
What's Cooking?,2000,PG-13,109,52,0.7
Dungeons & Dragons,2000,PG-13,107,10,14.8
Proof of Life,2000,R,135,40,31.2
Vertical Limit,2000,PG-13,124,48,67.8
What Women Want,2000,PG-13,127,54,181.5
Requiem for a Dream,2000,R,102,78,2.5
The Emperor's New Groove,2000,G,78,85,87.3
"Dude, Where's My Car?",2000,PG-13,83,18,45
The Family Man,2000,PG-13,125,53,73.7
You Can Count on Me,2000,R,111,95,8.4
Miss Congeniality,2000,PG-13,109,42,105.5
Quills,2000,R,124,75,4.3
All the Pretty Horses,2000,PG-13,116,32,14.7
Traffic,2000,R,147,92,123.8
State and Main,2000,R,105,86,5.8
"Crouching Tiger, Hidden Dragon",2000,PG-13,120,97,127.7
Thirteen Days,2000,PG-13,145,83,33.1
Finding Forrester,2000,PG-13,136,74,51.4
The Gift,2000,R,111,57,11.2
Chocolat,2000,PG-13,121,63,71.3
Snatch.,2000,R,102,73,30.1
Shadow of the Vampire,2000,R,92,81,7.5
"O Brother, Where Art Thou?",2000,PG-13,106,77,45.2
Before Night Falls,2000,R,133,73,2.8
An Everlasting Piece,2000,R,103,48,0.0091
Pollock,2000,R,122,81,7.3
Memento,2000,R,113,92,23.8
The Golden Bowl,2000,R,130,54,2.2
Songcatcher,2000,PG-13,109,74,1.6
The Endurance,2000,G,97,95,2.1
Tadpole,2000,PG-13,78,78,2.9
The Debut,2000,R,88,74,1.5
Antitrust,2001,PG-13,109,24,11
Double Take,2001,PG-13,88,12,28.5
The Pledge,2001,R,124,78,18.9
"Scotland, Pa.",2001,R,104,59,0.2
Sugar & Spice,2001,PG-13,81,28,12.4
Head Over Heels,2001,PG-13,86,10,9.9
Valentine,2001,R,96,8,19.8
Hannibal,2001,R,131,39,163.9
Saving Silverman,2001,PG-13,90,18,19
Recess: School's Out,2001,G,82,61,34.8
Sweet November,2001,PG-13,119,16,24.4
Down to Earth,2001,PG-13,87,20,63.1
Haunted Castle,2001,PG,38,25,12.4
Monkeybone,2001,PG-13,93,20,4.9
3000 Miles to Graceland,2001,R,125,14,15.3
See Spot Run,2001,PG,94,23,32.5
The Mexican,2001,R,123,56,66.6
Carman: The Champion,2001,PG-13,82,11,1.3
Get Over It,2001,PG-13,87,44,11.3
15 Minutes,2001,R,120,33,24.2
Bartleby,2001,PG-13,83,35,0.0603
Never Again,2001,R,98,31,0.2
Enemy at the Gates,2001,R,131,54,50.5
Exit Wounds,2001,R,101,32,51.4
Heartbreakers,2001,PG-13,123,53,39.9
The Brothers,2001,R,106,63,26.6
Say It Isn't So,2001,R,95,9,4.8
Spy Kids,2001,PG,88,93,110.8
Someone Like You...,2001,PG-13,97,43,26.7
Along Came a Spider,2001,R,104,32,73.6
Blow,2001,R,124,55,52.8
Joe Dirt,2001,PG-13,91,11,27.1
Kingdom Come,2001,PG,94,28,22.6
Josie and the Pussycats,2001,PG-13,98,53,14.1
Crocodile Dundee in Los Angeles,2001,PG,92,11,25.3
Freddy Got Fingered,2001,R,87,11,13.7
Driven,2001,PG-13,116,14,32.4
One Night at McCool's,2001,R,93,33,5.7
The Forsaken,2001,R,90,7,6.3
Town & Country,2001,R,104,13,6.3
The Mummy Returns,2001,PG-13,130,47,200.7
The Tailor of Panama,2001,R,109,77,13.1
A Knight's Tale,2001,PG-13,132,58,55
Shrek,2001,PG,90,88,267
Pearl Harbor,2001,PG-13,183,25,197.8
Startup.com,2001,R,107,92,0.5
What's the Worst That Could Happen?,2001,PG-13,94,10,31.1
Moulin Rouge!,2001,PG-13,127,76,55.1
