Title	Year	Rating	Runtime	Tomato Meter	Box Office
The Whole Nine Yards	2000	R	98 min	45	$57.3M
Gladiator	2000	R	155 min	76	$187.3M
Cirque du Soleil	2000	G	39 min	45	$13.4M
Dinosaur	2000	PG	82 min	65	$135.6M
Big Momma's House	2000	PG-13	99 min	30	$0.5M
Gone in Sixty Seconds	2000	PG-13	118 min	24	$101.0M
Shaft	2000	R	99 min	68	$70.3M
"Me, Myself & Irene"	2000	R	116 min	48	$0.6M
Chicken Run	2000	G	84 min	97	$106.6M
The Patriot	2000	R	165 min	62	$2.3M
The Adventures of Rocky & Bullwinkle	2000	PG	92 min	43	$0.4M
The Kid	2000	PG	104 min	49	$68.5M
X-Men	2000	PG-13	104 min	82	$156.2M
What Lies Beneath	2000	PG-13	130 min	46	$155.0M
Thomas and the Magic Railroad	2000	G	85 min	19	$2.0M
Nutty Professor II: The Klumps	2000	PG-13	106 min	26	$122.4M
Hollow Man	2000	R	112 min	27	$72.1M
Coyote Ugly	2000	PG-13	100 min	22	$59.8M
Space Cowboys	2000	PG-13	130 min	78	$89.4M
The Replacements	2000	PG-13	118 min	40	$44.0M
Bless the Child	2000	R	107 min	3	$28.1M
The Original Kings of Comedy	2000	R	115 min	86	$37.7M
The Cell	2000	R	107 min	45	$60.0M
The Crew	2000	PG-13	88 min	20	$12.5M
Bring It On	2000	PG-13	98 min	63	$67.9M
The Art of War	2000	R	117 min	16	$29.5M
The Tao of Steve	2000	R	87 min	80	$2.6M
Whipped	2000	R	82 min	13	$3.8M
Backstage	2000	R	86 min	31	$0.7M
Turn It Up	2000	R	86 min	8	$0.7M
The Way of the Gun	2000	R	119 min	48	$5.2M
Nurse Betty	2000	R	110 min	84	$25.0M
The Watcher	2000	R	97 min	10	$28.6M
Duets	2000	R	112 min	20	$4.3M
Bait	2000	R	119 min	26	$14.9M
Urban Legends: Final Cut	2000	R	97 min	9	$21.0M
Woman on Top	2000	R	92 min	34	$4.5M
Almost Famous	2000	R	122 min	88	$31.7M
Remember the Titans	2000	PG	113 min	73	$114.3M
Beautiful	2000	PG-13	112 min	16	$2.8M
Dancer in the Dark	2000	R	140 min	68	$2.8M
Meet the Parents	2000	PG-13	108 min	84	$164.5M
Girlfight	2000	R	110 min	87	$0.8M
Digimon: The Movie	2000	PG	82 min	25	$9.0M
Get Carter	2000	R	102 min	12	$14.6M
Dr. T and the Women	2000	R	122 min	57	$12.1M
The Contender	2000	R	126 min	76	$16.1M
Lost Souls	2000	R	97 min	7	$16.4M
The Ladies Man	2000	R	84 min	11	$13.4M
Best in Show	2000	PG-13	90 min	95	$16.6M
Pay It Forward	2000	PG-13	123 min	40	$32.8M
Bamboozled	2000	R	135 min	48	$1.9M
Bedazzled	2000	PG-13	93 min	49	$37.0M
Lucky Numbers	2000	R	105 min	22	$9.5M
The Little Vampire	2000	PG	95 min	55	$13.4M
Charlie's Angels	2000	PG-13	98 min	67	$124.4M
The Legend of Bagger Vance	2000	PG-13	126 min	43	$30.4M
Red Planet	2000	PG-13	106 min	14	$17.1M
Little Nicky	2000	PG-13	90 min	22	$38.5M
Men of Honor	2000	R	129 min	41	$46.2M
The 6th Day	2000	PG-13	123 min	41	$33.8M
How the Grinch Stole Christmas	2000	PG	104 min	53	$259.0M
102 Dalmatians	2000	G	100 min	31	$65.4M
What's Cooking?	2000	PG-13	109 min	52	$0.7M
Dungeons & Dragons	2000	PG-13	107 min	10	$14.8M
Proof of Life	2000	R	135 min	40	$31.2M
Vertical Limit	2000	PG-13	124 min	48	$67.8M
What Women Want	2000	PG-13	127 min	54	$181.5M
Requiem for a Dream	2000	R	102 min	78	$2.5M
The Emperor's New Groove	2000	G	78 min	85	$87.3M
"Dude, Where's My Car?"	2000	PG-13	83 min	18	$45.0M
The Family Man	2000	PG-13	125 min	53	$73.7M
You Can Count on Me	2000	R	111 min	95	$8.4M
Miss Congeniality	2000	PG-13	109 min	42	$105.5M
Quills	2000	R	124 min	75	$4.3M
All the Pretty Horses	2000	PG-13	116 min	32	$14.7M
Traffic	2000	R	147 min	92	$123.8M
State and Main	2000	R	105 min	86	$5.8M
"Crouching Tiger, Hidden Dragon"	2000	PG-13	120 min	97	$127.7M
Thirteen Days	2000	PG-13	145 min	83	$33.1M
Finding Forrester	2000	PG-13	136 min	74	$51.4M
The Gift	2000	R	111 min	57	$11.2M
Chocolat	2000	PG-13	121 min	63	$71.3M
Snatch.	2000	R	102 min	73	$30.1M
Shadow of the Vampire	2000	R	92 min	81	$7.5M
"O Brother, Where Art Thou?"	2000	PG-13	106 min	77	$45.2M
Before Night Falls	2000	R	133 min	73	$2.8M
An Everlasting Piece	2000	R	103 min	48	$9.1k
Pollock	2000	R	122 min	81	$7.3M
Memento	2000	R	113 min	92	$23.8M
The Golden Bowl	2000	R	130 min	54	$2.2M
